รายงานยอดขาย,,,,,,,,,,,,,,,,,,,
ชื่อบริษัท,บริษัท ธน พลัส 153 จำกัด,,,,,,,,,,,,,,,,,,
เลขผู้เสียภาษี :,0105553095785,,,,,,,,,,,,,,,,,,
ช่วงเวลา :,กุมภาพันธ์ 2026,,,,,,,,,,,,,,,,,,
,,,,,,,สกุลเงินหลัก( บาท),,,สกุลเงินอื่น,,,,,,,,,
ลำดับที่,เลขที่เอกสาร,วัน/เดือน/ปี,ชื่อลูกค้า,ชื่อโปรเจ็ค,เลขผู้เสียภาษี,สำนักงานใหญ่/สาขา,มูลค่า,ภาษีมูลค่าเพิ่ม,ยอดรวมสุทธิ,สกุลเงินในเอกสาร,อัตราแลกเปลี่ยน,ยอดรวมสุทธิ,เอกสารอ้างอิงในระบบ,เลขที่อ้างอิง,เอกสารอ้างอิงรับมัดจำ,สถานะ,พนักงานขาย,หมายเหตุ,โน้ต (สำหรับใช้ภายในบริษัท)
25,INV2026020012,12/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด,LYKN,0105538092304,สำนักงานใหญ่,"361,680.00","25,317.60","386,997.60",THB,1.00,"386,997.60",BL2026020016,BL2026020016,,ยกเลิก,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
26,INV2026020011,12/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด,GEMINI,0105538092304,สำนักงานใหญ่,"121,920.00","8,534.40","130,454.40",THB,1.00,"130,454.40",BL2026020015,BL2026020015,,ยกเลิก,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
27,INV2026020010,05/02/2026,บริษัท ประสานกิจ เอ็นจิเนียริ่ง จำกัด,,0205555032003,สำนักงานใหญ่,"1,100.00",77.00,"1,177.00",THB,1.00,"1,177.00",QT2026020011,QT2026020011,,เปิดใบเสร็จแล้ว,พัชรณัณฐ์,,
28,INV2026020009,05/02/2026,บริษัท ประสานกิจ เอ็นจิเนียริ่ง จำกัด,,0205555032003,สำนักงานใหญ่,"2,000.00",140.00,"2,140.00",THB,1.00,"2,140.00",BL2026020014,BL2026020014,,เปิดใบเสร็จแล้ว,พัชรณัณฐ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
ชำระ100%ก่อนเริ่มงาน",
29,INV2026020008,05/02/2026,บริษัท ประสานกิจ เอ็นจิเนียริ่ง จำกัด,,0205555032003,สำนักงานใหญ่,"14,500.00","1,015.00","15,515.00",THB,1.00,"15,515.00",BL2026020013,BL2026020013,,เปิดใบเสร็จแล้ว,พัชรณัณฐ์,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
รายละเอียดเพิ่มเติม :
- คละไซส์ได้ s-xl ใหญ่กว่า xl+เพิ่มไซส์ละ 20 บาทตามลำดับ
- ฟรีพับแพ็คจัดส่งฟรีกรุงเทพและปริมณฑล
- ระยะเวลาผลิต 3-4 สัปดาห์  หลังจากคอนเฟิร์มเสื้อตัวอย่าง
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2026020004 มูลค่า 31,244.00 บาท"
30,INV2026020007,09/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด,Fanfest-JP,0105538092304,สำนักงานใหญ่,"122,400.00","8,568.00","130,968.00",THB,1.00,"130,968.00",BL2026020010,BL2026020010,,เปิดใบเสร็จแล้ว,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
31,INV2026020006,06/02/2026,บริษัท บี ออน คลาวด์ จำกัด,,0105563111651,00001,615.00,43.05,658.05,THB,1.00,658.05,QT2026020016,QT2026020016,,เปิดใบเสร็จแล้ว,อทิตยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า",
32,INV2026020005,05/02/2026,บริษัท คลาวด์แดนซ์ จำกัด                                                                                                                                               ,,0105568028230,สำนักงานใหญ่,"10,000.00",700.00,"10,700.00",THB,1.00,"10,700.00",BL2026020007,BL2026020007,,เปิดใบเสร็จแล้ว,อทิตยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2026020017 มูลค่า 21,400.00 บาท"
33,INV2026020004,05/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด,Fanfest-JP,0105538092304,สำนักงานใหญ่,"122,400.00","8,568.00","130,968.00",THB,1.00,"130,968.00",BL2026020010,BL2026020010,,ยกเลิก,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
34,INV2026020003,04/02/2026,บริษัท ยันม่าร์ เอส.พี. จำกัด,,0105531037740,สำนักงานใหญ่,"14,725.00","1,030.75","15,755.75",THB,1.00,"15,755.75",BL2026020009,BL2026020009,,เปิดใบเสร็จแล้ว,อทิตยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
ส่งงานวันที่ 13 ช่วงเย็น / ตัดเย็บเสื้อทั้งหมดมาเลย
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2026020020 มูลค่า 31,511.50 บาท"
35,INV2026020002,05/02/2026,บริษัท จีเอ็มเอ็ม ทีวี จำกัด,Art Toy Soft PVC LOT3,0105538092304,สำนักงานใหญ่,"9,753,750.00","682,762.50","10,436,512.50",THB,1.00,"10,436,512.50",BL2026020008,BL2026020008,,เปิดใบเสร็จแล้ว,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
มัดจำ50%ก่อนเริ่มงาน ชำระ50%ส่วนหลังก่อนส่งสินค้า","รับเงินมัดจำ ของใบเสนอราคาเลขที่ QT2026020019 มูลค่า 20,873,025.00 บาท"
36,INV2026020001,04/02/2026,สำนักงานปลัดกระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,0994000158335,,"373,715.00","26,160.05","399,875.05",THB,1.00,"399,875.05",BL2026020005,BL2026020005,,ยกเลิก,ภัทธิยา,"**ไม่สามารถหักภาษี ณ ที่จ่ายได้ เนื่องจากเป็นการซื้อมาขายไป**
",
37,CN2026020001,03/02/2026,บริษัท กองสลากพลัสมาร์เก็ต จำกัด,,0105566026175,สำนักงานใหญ่,-255.00,-17.85,-272.85,THB,1.00,272.85,,QT2026010001,,รอดำเนินการ,กรณิการ์,,
,,,,,,ยอดรวมทั้งหมด,"11,764,457.50","823,512.03","12,587,969.53",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ยอดรวมแต่ละสกุลเงิน,,,,,,,,,,
,,,,,,,,,,มูลค่า,ภาษีมูลค่าเพิ่ม,ยอดรวมสุทธิ,,,,,,,
,,,,,,,,,THB,"11,764,457.50","823,512.03","12,587,969.53",,,,,,,
